1	Low	Rarely	Low
2	Low	Rarely	Medium
3	Low	Rarely	High
4	Low	Occasionally	Low
5	Low	Occasionally	Medium
6	Low	Occasionally	High
7	Low	Often	Low
8	Low	Often	Medium
9	Low	Often	High
10	Medium	Rarely	Low
11	Medium	Rarely	Medium
12	Medium	Rarely	High
13	Medium	Occasionally	Low
14	Medium	Occasionally	Medium
15	Medium	Occasionally	High
16	Medium	Often	Low
17	Medium	Often	Medium
18	Medium	Often	High
19	Medium	Rarely	Low
20	High	Rarely	Medium
21	High	Rarely	High
22	High	Occasionally	Low
23	High	Occasionally	Medium
24	High	Occasionally	High
25	High	Often	Low
26	High	Often	Medium
27	High	Often	High